WMO,Deployment Date,Float model,program,RBR SN,X2old,X3old,X4old,X2,X3,X4,Source,analysis flag,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6904105,2021-01-12T12:51:00,ARVOR,Argo GERMANY 2025,205361,1.8732E-06,-7.7689E-10,1.4890E-13,1.4144E-06,-4.4955E-10,7.2155E-14,deployment cast,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6904103,2021-01-12T12:51:00,ARVOR,Argo GERMANY 2025,205362,1.8732E-06,-7.7689E-10,1.4890E-13,1.4493E-06,-4.6065E-10,7.3936E-14,deployment cast,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6904101,2021-01-12T12:51:00,ARVOR,Argo GERMANY 2025,205365,1.8732E-06,-7.7689E-10,1.4890E-13,N/A,N/A,N/A,N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6904102,2021-01-12T12:51:00,ARVOR,Argo GERMANY 2025,205363,1.8732E-06,-7.7689E-10,1.4890E-13,1.4668E-06,-4.6620E-10,7.4827E-14,deployment cast,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4902533,2021-04-26T02:32:00,ARVOR,Argo CANADA,,1.8732E-06,-7.7689E-10,1.4890E-13,1.5716E-06,-4.9950E-10,8.0172E-14,WMO5906437 + deployment cast,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4902534,2021-04-26T02:37:00,ARVOR,Argo CANADA,,1.8732E-06,-7.7689E-10,1.4890E-13,1.6676E-06,-5.3003E-10,8.5071E-14,WMO5906437 + deployment cast,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903709,2021-05-19T06:00:00,ARVOR,Euro-Argo RISE,205366,1.8732E-06,-7.7689E-10,1.4890E-13,N/A,N/A,N/A,N/A,1,shallow float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903710,2021-05-21T17:00:00,ARVOR,Euro-Argo RISE,205364,1.8732E-06,-7.7689E-10,1.4890E-13,N/A,N/A,N/A,N/A,1,shallow float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903364,2021-08-09T19:23:00,ALTO,Argo WHOI,203996,1.8732E-06,-7.7689E-10,1.4890E-13,1.1350E-06,-3.6075E-10,5.7902E-14,WMO6901191,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5906457,2021-09-15T01:02:00,APEX,Argo UW,205911,1.8732E-06,-7.7689E-10,1.4890E-13,1.5890E-06,-5.0505E-10,8.1063E-14,WMO5905457,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5906739,2021-09-26T08:00:00,SOLO_II,Argo SIO,206473,1.8732E-06,-7.7689E-10,1.4890E-13,N/A,N/A,N/A,N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903077,2021-11-15T07:15:00,ARVOR,Coriolis,203914,1.8732E-06,-7.7689E-10,1.4890E-13,1.5803E-06,-5.0228E-10,8.0617E-14,WMO6902840,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903078,2021-11-24T02:00:00,ARVOR,Coriolis,204164,1.8732E-06,-7.7689E-10,1.4890E-13,1.4406E-06,-4.5788E-10,7.3491E-14,WMO6904128,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6904179,2022-03-04T11:46:00,APEX,Argo UK,203423,1.8732E-06,-7.7689E-10,1.4890E-13,1.3533E-06,-4.3013E-10,6.9037E-14,deployment cast,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6904180,2022-03-03T17:12:00,APEX,Argo UK,203424,1.8732E-06,-7.7689E-10,1.4890E-13,1.1350E-06,-3.6075E-10,5.7902E-14,deployment cast,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4902559,2022-03-11T02:31:00,ARVOR,Argo CANADA,206075,1.8732E-06,-7.7689E-10,1.4890E-13,1.5017E-06,-4.7730E-10,7.6609E-14,WMO4902589,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5905503,2022-03-19T19:40:35,ALTO,Argo AUSTRALIA,203992,1.8732E-06,-7.7689E-10,1.4890E-13,1.7025E-06,-5.4945E-10,8.8189E-14,WMO5905502,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5905509,2022-03-22T03:13:58,ALTO,Argo AUSTRALIA,203989,1.8732E-06,-7.7689E-10,1.4890E-13,1.6240E-06,-5.1615E-10,8.2844E-14,WMO5905508,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3902249,2022-04-05T01:24:00,ALTO,Argo WHOI,203990,1.8732E-06,-7.7689E-10,1.4890E-13,1.2660E-06,-4.0237E-10,6.4583E-14,nearby floats,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3902250,2022-04-05T17:20:00,ALTO,Argo WHOI,204001,1.8732E-06,-7.7689E-10,1.4890E-13,1.3882E-06,-4.4123E-10,7.0819E-14,nearby floats,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5905511,2022-04-12T14:44:00,ALTO,Argo AUSTRALIA,203991,1.8732E-06,-7.7689E-10,1.4890E-13,1.7375E-06,-5.5223E-10,8.8635E-14,nearby floats,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4902557,2022-05-18T03:24:00,ARVOR,Argo CANADA,206072,1.8732E-06,-7.7689E-10,1.4890E-13,N/A,N/A,N/A,WMO4902592,,in situ calibration failing - no reliable estimates can be made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4902535,2022-05-18T03:24:00,ARVOR,Argo CANADA,203802,1.8732E-06,-7.7689E-10,1.4890E-13,N/A,N/A,N/A,WMO4902593,,in situ calibration failing - no reliable estimates can be made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4902556,2022-05-24T04:20:00,ARVOR,Argo CANADA,206074,1.8732E-06,-7.7689E-10,1.4890E-13,1.6152E-06,-5.1338E-10,8.2399E-14,WMO4902590,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
